Na2O,MgO,Al2O3,SiO2,P2O5,SO3,Cl,K2O,CaO,TiO2,Cr2O3,MnO,FeO,Ni,Zn,Br,Filename,Sol
1.95,9.18,6.9,40.04,0.92,6.16,1.33,1.79,5.47,1.02,0.41,0.55,23.57,0.0371,0.3429,0.1491,apb_451822650rwp06120311330_______p1.csv,612
2.11,9.15,7.15,40.1,0.85,6.13,1.24,1.78,5.45,1.13,0.47,0.45,23.38,0.0448,0.3738,0.1079,apb_451824622rwp06120311330_______p1.csv,612
1.98,9.03,7.08,40.11,0.91,6.27,1.34,1.76,5.54,0.98,0.38,0.62,23.33,0.0439,0.3828,0.1608,apb_451821664rwp06120311330_______p1.csv,612
2.05,9.04,7.1,40.14,0.9,6.27,1.3,1.63,5.58,0.95,0.36,0.51,23.38,0.0479,0.355,0.159,apb_451823630rwp06120311330_______p1.csv,612
1.21,10.87,5.62,40.47,0.81,3.95,1.65,3.01,5.01,1.03,0.42,0.67,24.51,0.0384,0.3981,0.1979,apb_451861586rwp06120311330_______p1.csv,612
0.4,12.67,5.69,39.3,0.73,2.58,0.8,3.65,4.91,1.15,0.44,0.56,26.5,0.0383,0.4347,0.0348,apb_452752443rwp06220311330_______p1.csv,622
0.27,12.77,5.7,39.42,0.72,2.6,0.72,3.59,4.98,1.18,0.44,0.49,26.37,0.0444,0.4681,0.0186,apb_452708981rwp06220311330_______p1.csv,622
0.5,12.84,5.73,39.86,0.74,2.72,0.85,3.73,4.8,1.2,0.38,0.52,25.56,0.0305,0.3904,0.0721,apb_452711460rwp06220311330_______p1.csv,622
1.01,18.3,4.05,33.38,0.7,4.35,3.36,2.49,4.25,0.91,0.34,4.03,21.58,0.1101,0.8156,0.1888,apb_453194510rwp06270311330_______p1.csv,627
1.12,18.29,4.31,33.69,0.69,4.44,3.19,2.43,4.2,0.91,0.28,4.54,20.64,0.1287,0.849,0.1689,apb_453332999rwp06290311330_______p1.csv,629
1.02,17.79,4.5,34.06,0.76,4.67,3.26,2.31,4.2,0.77,0.35,3.81,21.21,0.1033,0.716,0.1803,apb_453330389rwp06290311330_______p1.csv,629
1.04,17.9,4.2,34.43,0.65,4.46,3.44,2.53,4.32,0.9,0.36,3.15,21.48,0.083,0.7828,0.1851,apb_453331693rwp06290311330_______p1.csv,629
1.32,17.26,4.91,34.64,0.74,4.85,3.12,2.33,4.43,0.94,0.3,3.16,20.96,0.0837,0.6777,0.1804,apb_453334302rwp06290311330_______p1.csv,629
2.08,9.45,8.65,43.16,0.64,4.05,1.54,2.41,5.77,0.91,0.47,0.2,20.52,0.0158,0.0756,0.0093,apb_453684267rwp06330320000_______p1.csv,633
2.14,9.44,8.7,42.91,0.73,4.04,1.54,2.43,5.85,0.91,0.51,0.2,20.43,0.0198,0.0785,0.0096,apb_453733330rwp06340320000_______p1.csv,634
3.38,6.05,11.5,45.36,0.83,7.08,1.33,1.96,5.52,0.83,0.09,0.28,15.6,0.0156,0.0645,0.0059,apb_455104633rwp06490340000_______p1.csv,649
2.78,8.27,9.41,43.05,0.85,5.12,0.64,0.45,7.17,1.1,0.5,0.42,20.09,0.0517,0.0355,0.0026,apb_457285503rwp06740380000_______p1.csv,674
